,base,cloudiness,cod,latitude,longitude,dt,id,main.grnd_level,humidity,main.pressure,main.sea_level,temperature,main.temp_max,main.temp_min,message,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,windspeed
37,stations,30.0,200,71.97,114.09,1562640055.0,2017155.0,989.74,49.0,999.3,999.3,289.813,289.813,289.813,,Saskylakh,,,RU,,0.0089,0.0,0.0,,32400.0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",230.111,,2.91
38,stations,100.0,200,69.7,170.27,1562640126.0,2122090.0,1015.05,68.0,1014.86,1014.86,282.243,282.243,282.243,,Pevek,,,RU,,0.0058,0.0,0.0,,43200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",50.14,,3.66
39,stations,9.0,200,-34.53,20.04,1562640127.0,1015776.0,,87.0,1025.0,,284.15,284.15,284.15,,Bredasdorp,,,ZA,1966.0,0.0069,1562651169.0,1562687006.0,1.0,7200.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",320.0,,1.0
40,stations,100.0,200,5.04,21.21,1562640127.0,240999.0,947.29,96.0,1013.94,1013.94,292.833,292.833,292.833,,Alindao,,,CF,,0.0054,1562646490.0,1562691123.0,,3600.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",343.711,,1.35
41,stations,40.0,200,38.52,-28.7,1562640026.0,3372707.0,,88.0,1022.0,,293.15,293.15,293.15,,Ribeira Grande,,,PT,6883.0,0.0074,1562654301.0,1562707271.0,1.0,0.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",300.0,,2.1
42,stations,0.0,200,-9.17,-60.63,1562640127.0,3665202.0,998.82,61.0,1015.34,1015.34,295.183,295.183,295.183,,Aripuana,,,BR,,0.0061,1562581142.0,1562622941.0,,-14400.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",203.135,,0.71
43,stations,100.0,200,66.94,-53.67,1562640128.0,3419842.0,1010.2,79.0,1011.99,1011.99,278.643,278.643,278.643,,Sisimiut,,,GL,,0.007,0.0,0.0,,-7200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",351.82,,10.82
44,stations,75.0,200,-33.93,18.42,1562639765.0,3369157.0,,100.0,1026.0,,285.34,287.59,283.71,,Cape Town,,,ZA,1899.0,0.0061,1562651470.0,1562687483.0,1.0,7200.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",40.0,,2.6
45,stations,0.0,200,44.08,-80.2,1562640072.0,6145890.0,,75.0,1016.0,,289.84,292.04,288.15,,Shelburne,,,CA,2008040.0,0.0078,1562579139.0,1562634338.0,3.0,-14400.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",38.742,,1.86
46,stations,40.0,200,15.34,74.49,1562640128.0,1273574.0,999.54,82.0,1006.98,1006.98,300.543,300.543,300.543,,Vaini,,9.438,IN,,0.0075,1562632634.0,1562679403.0,,19800.0,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",250.944,,4.67
47,stations,6.0,200,-0.74,-90.35,1562640056.0,3652764.0,,95.0,1015.0,,294.82,294.82,294.82,,Puerto Ayora,,,EC,2005652.0,0.0093,1562587433.0,1562630917.0,3.0,-21600.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",165.0,1.34,0.45
48,stations,93.0,200,53.34,78.33,1562640129.0,1508636.0,991.18,49.0,1003.29,1003.29,296.443,296.443,296.443,,Burla,,,RU,,0.0066,1562624980.0,1562685213.0,,25200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",191.883,,6.11
49,stations,0.0,200,39.42,22.43,1562640129.0,262462.0,,83.0,1011.0,,295.12,296.15,294.15,,Chara,,,GR,6629.0,0.0064,1562641863.0,1562695164.0,1.0,10800.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",305.36,,0.6
50,stations,0.0,200,60.4,-1.35,1562640129.0,2654970.0,,93.0,1020.0,,280.57,281.15,280.15,,Brae,,,GB,1447.0,0.0061,1562640814.0,1562707629.0,1.0,3600.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,1.0
51,stations,19.0,200,3.04,29.53,1562640129.0,204283.0,911.1,98.0,1014.91,1014.91,290.423,290.423,290.423,,Watsa,,,CD,,0.0059,1562644693.0,1562688926.0,,7200.0,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",63.658,,0.81
52,stations,90.0,200,22.08,-159.32,1562639956.0,5848280.0,,74.0,1016.0,,300.63,301.15,299.82,,Kapaa,,,US,7873.0,0.0074,1562601576.0,1562649882.0,1.0,-36000.0,14484.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",30.0,,8.2
53,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,
54,stations,1.0,200,39.95,-94.76,1562640130.0,4407665.0,,41.0,1014.0,,298.61,300.15,297.59,,Kodiak,,,US,4022.0,0.0068,1562583466.0,1562637001.0,1.0,-18000.0,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",130.0,,3.1
55,stations,0.0,200,-33.59,26.89,1562640097.0,964432.0,,78.0,1021.0,,290.37,290.37,290.37,,Port Alfred,,,ZA,2011314.0,0.0056,1562649388.0,1562685498.0,3.0,7200.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",264.0,8.05,3.58
56,stations,79.0,200,35.63,111.36,1562640130.0,1784874.0,942.79,39.0,1008.51,1008.51,299.813,299.813,299.813,,Houma,,,CN,,0.0067,1562621160.0,1562673176.0,,28800.0,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",288.352,,3.93
57,stations,0.0,200,-14.83,-64.9,1562640131.0,3902377.0,997.48,71.0,1016.04,1016.04,292.023,292.023,292.023,,Trinidad,,,BO,,0.0067,1562582752.0,1562623380.0,,-14400.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",314.439,,0.87
58,stations,24.0,200,-3.48,29.48,1562640131.0,425378.0,759.43,84.0,1015.14,1015.14,283.423,283.423,283.423,,Matara,,,BI,,0.0066,1562645350.0,1562688293.0,,7200.0,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",303.527,,0.68
59,stations,40.0,200,-8.49,140.4,1562640131.0,2082539.0,1011.82,82.0,1011.52,1011.52,298.823,298.823,298.823,,Merauke,,0.625,ID,,0.0055,1562619228.0,1562661168.0,,32400.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",141.32,,10.23
60,stations,98.0,200,12.49,-16.54,1562640131.0,2246901.0,1013.38,84.0,1013.7,1013.7,298.883,298.883,298.883,,Oussouye,,,SN,,0.0062,1562654789.0,1562700946.0,,0.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",291.482,,4.77
61,stations,20.0,200,44.65,-63.58,1562639905.0,6324729.0,,59.0,1011.0,,290.27,292.15,287.04,,Halifax,,,CA,733.0,0.0079,1562575023.0,1562630476.0,1.0,-10800.0,24140.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",250.0,,2.6
62,stations,0.0,200,50.93,84.77,1562640132.0,1488190.0,853.56,46.0,1006.49,1006.49,293.363,293.363,293.363,,Ust-Kan,,,RU,,0.0084,1562624219.0,1562682882.0,,25200.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",227.962,,1.59
63,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,
64,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,
65,stations,9.0,200,18.44,1.41,1562640132.0,2455290.0,961.05,10.0,1007.24,1007.24,306.513,306.513,306.513,,Kidal,,,ML,,0.0088,1562649834.0,1562697284.0,,0.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",104.422,,6.16
